Date,High,Low,Open ,Close,Volume,Adj Close
01/06/2022,31957.28516,29501.58789,31792.55469,29799.08008,41135817341,29799.08008
02/06/2022,30604.73438,29652.70508,29794.89063,30467.48828,29083562061,30467.48828
03/06/2022,30633.03516,29375.68945,30467.80664,29704.39063,26175547452,29704.39063
04/06/2022,29930.56445,29500.00586,29706.13867,29832.91406,16588370958,29832.91406
05/06/2022,30117.74414,29574.44922,29835.11719,29906.66211,17264085441,29906.66211
06/06/2022,31693.29102,29894.1875,29910.2832,31370.67188,31947336829,31370.67188
07/06/2022,31489.68359,29311.68359,31371.74219,31155.47852,40770974039,31155.47852
08/06/2022,31253.69141,29944.4043,31151.48047,30214.35547,30242059107,30214.35547
09/06/2022,30609.31055,30020.26563,30215.2793,30111.99805,21692004719,
10/06/2022,30245.80859,28978.14648,30110.33008,29083.80469,29867476527,29083.80469
11/06/2022,29401.91602,28236.21289,29084.66602,28360.81055,27246574439,28360.81055
12/06/2022,28502.68555,26762.64844,28373.51367,26762.64844,34163220274,26762.64844
13/06/2022,26795.58984,22141.25781,26737.57813,22487.38867,68204556440,22487.38867
14/06/2022,23018.95117,20950.81836,22487.98633,22206.79297,50913575242,22206.79297
15/06/2022,22642.67188,20178.37695,22196.73047,22572.83984,54912007015,22572.83984
16/06/2022,22868.92188,20265.22656,22576.30469,20381.65039,31183975654,20381.65039
17/06/2022,21243.3125,20326.51953,20385.71875,20471.48242,27132421514,
18/06/2022,20736.04102,17708.62305,20473.42578,19017.64258,42009436760,
19/06/2022,20683.82227,18067.15234,19010.90234,20553.27148,35329942625,20553.27148
20/06/2022,20913.32227,19689.16992,20553.37109,20599.53711,30818458597,20599.53711
21/06/2022,21620.62891,20415.0625,20594.29492,20710.59766,28970212744,20710.59766
22/06/2022,20835.75,19848.07813,20719.41406,19987.0293,28574793478,19987.0293
23/06/2022,21135.76172,19950.11719,19986.60742,21085.87695,26188097173,21085.87695
24/06/2022,21472.91797,20777.51172,21084.64844,21231.65625,24957784918,21231.65625
25/06/2022,21520.91406,20964.58594,21233.60938,21502.33789,18372538715,21502.33789
26/06/2022,21783.72461,21016.26953,21496.49414,21027.29492,18027170497,21027.29492
27/06/2022,21478.08984,20620.19922,21028.23828,20735.47852,20965695707,20735.47852
28/06/2022,21164.42383,20228.8125,20731.54492,20280.63477,21381535161,20280.63477
29/06/2022,20364.15625,19937.79102,20281.16992,20104.02344,23552740328,20104.02344
30/06/2022,20141.16016,18729.65625,20108.3125,19784.72656,26267239923,19784.72656
27/06/2022,21478.08984,20620.19922,21028.23828,20735.47852,20965695707,20735.47852
28/06/2022,21164.42383,20228.8125,20731.54492,20280.63477,21381535161,20280.63477
29/06/2022,20364.15625,19937.79102,20281.16992,20104.02344,23552740328,20104.02344
30/06/2022,20141.16016,18729.65625,20108.3125,19784.72656,26267239923,19784.72656
